old_taxon_id	current_taxon_id
NCBITaxon:101072	NCBITaxon:101070
NCBITaxon:101073	NCBITaxon:101070
NCBITaxon:101074	NCBITaxon:101070
NCBITaxon:1010790	NCBITaxon:3355704
NCBITaxon:10109	NCBITaxon:10103
NCBITaxon:101099	NCBITaxon:91625
NCBITaxon:10110	NCBITaxon:254704
NCBITaxon:101140	NCBITaxon:562975
NCBITaxon:101150	NCBITaxon:648776
NCBITaxon:101151	NCBITaxon:101155
NCBITaxon:101161	NCBITaxon:95740
NCBITaxon:101270	NCBITaxon:101269
NCBITaxon:101277	NCBITaxon:101278
NCBITaxon:101279	NCBITaxon:61622
NCBITaxon:101280	NCBITaxon:61853
NCBITaxon:101294	NCBITaxon:97190
NCBITaxon:101296	NCBITaxon:257324
NCBITaxon:101318	NCBITaxon:97183
NCBITaxon:101328	NCBITaxon:150080
NCBITaxon:101329	NCBITaxon:87541
NCBITaxon:101330	NCBITaxon:122929
NCBITaxon:101331	NCBITaxon:372347
NCBITaxon:101344	NCBITaxon:515887
NCBITaxon:101354	NCBITaxon:36443
NCBITaxon:101356	NCBITaxon:1835656
NCBITaxon:101384	NCBITaxon:153266
NCBITaxon:101408	NCBITaxon:192885
