sample_id	reason
biosample:SAMEA4063013	assembly_unavailable
biosample:SAMEA4063017	assembly_unavailable
biosample:SAMEA4063018	assembly_unavailable
biosample:SAMEA4063019	assembly_unavailable
biosample:SAMEA4063020	assembly_unavailable
biosample:SAMEA4063021	assembly_unavailable
biosample:SAMEA4063022	assembly_unavailable
biosample:SAMEA4063023	assembly_unavailable
biosample:SAMEA4063024	assembly_unavailable
biosample:SAMEA4063025	assembly_unavailable
biosample:SAMEA4063026	assembly_unavailable
biosample:SAMEA4063027	assembly_unavailable
biosample:SAMEA4063028	assembly_unavailable
biosample:SAMEA4063029	assembly_unavailable
biosample:SAMEA4063030	assembly_unavailable
biosample:SAMEA4063031	assembly_unavailable
biosample:SAMEA4076702	assembly_unavailable
biosample:SAMEA4076703	assembly_unavailable
biosample:SAMEA4076704	assembly_unavailable
biosample:SAMEA4076705	assembly_unavailable
biosample:SAMEA4076706	assembly_unavailable
biosample:SAMEA4076707	assembly_unavailable
biosample:SAMEA4076708	assembly_unavailable
biosample:SAMEA4076709	assembly_unavailable
biosample:SAMEA4076713	assembly_unavailable
biosample:SAMEA4076714	assembly_unavailable
biosample:SAMEA4076715	assembly_unavailable
biosample:SAMEA4076716	assembly_unavailable
biosample:SAMEA4076717	assembly_unavailable
biosample:SAMEA4076718	assembly_unavailable
biosample:SAMEA4076719	assembly_unavailable
biosample:SAMEA4076721	assembly_unavailable
biosample:SAMEA4076722	assembly_unavailable
biosample:SAMEA4076724	assembly_unavailable
biosample:SAMEA4076725	assembly_unavailable
biosample:SAMEA4076726	assembly_unavailable
biosample:SAMEA4076727	assembly_unavailable
biosample:SAMEA4076728	assembly_unavailable
biosample:SAMEA4076732	assembly_unavailable
biosample:SAMEA4076733	assembly_unavailable
biosample:SAMEA4076734	assembly_unavailable
biosample:SAMEA4362418	assembly_unavailable
biosample:SAMEA4362421	assembly_unavailable
biosample:SAMEA4362422	assembly_unavailable
biosample:SAMEA4362423	assembly_unavailable
biosample:SAMEA4362427	assembly_unavailable
biosample:SAMEA4362428	assembly_unavailable
biosample:SAMEA4362431	assembly_unavailable
biosample:SAMEA4362433	assembly_unavailable
biosample:SAMEA4364201	assembly_unavailable
biosample:SAMEA4364203	assembly_unavailable
biosample:SAMEA4364204	assembly_unavailable
biosample:SAMEA4364207	assembly_unavailable
biosample:SAMEA4364208	assembly_unavailable
biosample:SAMEA4364210	assembly_unavailable
biosample:SAMEA4364211	assembly_unavailable
biosample:SAMEA4364214	assembly_unavailable
biosample:SAMEA4364216	assembly_unavailable
biosample:SAMEA4364217	assembly_unavailable
biosample:SAMEA4364220	assembly_unavailable
biosample:SAMEA4364221	assembly_unavailable
